id,name,geometry,buildstart,opening,closure,city_id
1025,"",POINT(121.394030750774 31.1626222223306),2008,2015,999999,107
1026,"",POINT(121.387311759998 31.1557265123063),2008,2015,999999,107
1715,"",POINT(116.315490136773 39.96476170013),2005,2009,999999,15
1761,"",POINT(116.408021294929 40.0408448078441),2002,2007,999999,15
1863,"",POINT(-0.123670802317349 51.3823502895572),1996,2000,999999,69
1721,"",POINT(116.36672245529 39.9322185692881),2005,2009,999999,15
1723,"",POINT(116.367601416548 39.9144267346564),2005,2009,999999,15
1763,"",POINT(116.406838941285 40.0650488982252),2002,2007,999999,15
1725,"",POINT(116.368226725454 39.8888379875652),2005,2009,999999,15
1727,"",POINT(116.368212414249 39.8771628293484),2005,2009,999999,15
1908,"",POINT(0.0344024608208713 51.6073199723501),1935,1947,999999,69
1729,"",POINT(116.36511814334 39.8516129525756),2005,2009,999999,15
1765,"",POINT(116.406686119215 40.0825744516451),2002,2007,999999,15
1731,"",POINT(116.364718345989 39.8352526418113),0,0,999999,15
1757,"",POINT(116.41143461372 39.9764993839783),2002,2007,999999,15
1733,"",POINT(116.322537878608 39.7885083986337),2007,2010,999999,15
1866,"",POINT(-0.106925222493487 51.3757673810441),1996,2000,999999,69
1735,"",POINT(116.325574369191 39.761608237364),2007,2010,999999,15
1719,"",POINT(116.349508017825 39.9390263959985),2005,2009,999999,15
1737,"",POINT(116.326182832922 39.7408702982949),2007,2010,999999,15
1739,"",POINT(116.326626355351 39.721638466995),2007,2010,999999,15
1741,"",POINT(116.316018716343 39.6868138742518),2007,2010,999999,15
1766,"",POINT(116.367558873763 39.9473822584832),1971,1984,999999,15
1743,"",POINT(116.422144899328 39.8448553893847),2002,2007,999999,15
1745,"",POINT(116.415556815605 39.8636828380541),2002,2007,999999,15
1892,"",POINT(-0.124446043938576 51.5086811987546),1862,1864,999999,69
1747,"",POINT(116.412673607476 39.8906611003134),2002,2007,999999,15
1768,"",POINT(116.269892398479 39.9311787777567),2007,2012,999999,15
1749,"",POINT(116.411863509156 39.907321081597),2002,2007,999999,15
1751,"",POINT(116.411184978347 39.9218349284524),2002,2007,999999,15
1753,"",POINT(116.410542163969 39.9395029979929),2002,2007,999999,15
1770,"",POINT(116.303377346636 39.9310660188394),2007,2012,999999,15
1755,"",POINT(116.412068942779 39.9571599608872),2002,2007,999999,15
1772,"",POINT(116.318722998636 39.9311486723963),2007,2012,999999,15
1873,"",POINT(-0.085012561534171 51.3751800698377),1996,2000,999999,69
1774,"",POINT(116.350336702282 39.9311498608119),2007,2012,999999,15
1776,"",POINT(116.381763296647 39.9317522848702),2007,2012,999999,15
1778,"",POINT(116.409188401634 39.9231652241168),2007,2012,999999,15
1878,"",POINT(116.366114249055 39.8444989436211),2007,2012,999999,15
1854,"",POINT(-0.205477067485646 51.4205808635937),1996,2000,999999,69
1856,"",POINT(-0.202073339213541 51.4140591809659),1996,2000,999999,69
1894,"",POINT(-0.0907867776741682 51.5105308442094),1865,1866,999999,69
1859,"",POINT(-0.178389197513042 51.4008831939847),1996,2000,999999,69
1881,"",POINT(116.283405468224 39.9648036973303),2007,2012,999999,15
1884,"",POINT(116.290051057529 39.932208919423),2007,2012,999999,15
1887,"",POINT(116.304369185073 39.8952809297361),2007,2012,999999,15
1897,"",POINT(-0.172808835737754 51.6487581578737),1846,1850,999999,69
1925,"",POINT(116.50613954684 39.8596931216501),2009,2014,999999,15
1890,"",POINT(116.314933120929 39.8945376323346),2009,2014,999999,15
1900,"",POINT(-0.266915402595032 51.5170531009979),1868,1868,999999,69
1910,"",POINT(116.355526110323 39.8881493664117),2009,2014,999999,15
1903,"",POINT(-0.377690139265894 51.5060412622238),1838,1839,999999,69
2069,"",POINT(-0.0236585632113417 51.5814699530199),1894,2007,999999,69
1919,"",POINT(116.472320975494 39.8920239462985),2009,2014,999999,15
1913,"",POINT(116.390979166039 39.8896929094291),2009,2014,999999,15
1916,"",POINT(116.426551174482 39.8923005760903),2009,2014,999999,15
1922,"",POINT(116.496852015781 39.8857278016355),2009,2014,999999,15
1717,"",POINT(116.318748825405 39.9440298157998),2005,2009,999999,15
1906,"",POINT(-0.105372775766114 51.5457937372044),1860,2007,999999,69
2072,"",POINT(0.0249407404006092 51.5517991592961),1894,2007,999999,69
2075,"",POINT(0.00750235499009477 51.5682364272901),1935,1947,999999,69
2077,"",POINT(0.0456737824509048 51.5759040676478),1935,1947,999999,69
2079,"",POINT(0.0891423749025932 51.5862233957201),1935,1948,999999,69
2081,"",POINT(0.0937769179707857 51.6039176057021),1935,1948,999999,69
2083,"",POINT(0.0746953225880418 51.6179399153843),1935,1948,999999,69
2084,"",POINT(0.0277050294298817 51.5926404880309),1935,1947,999999,69
2088,"",POINT(-0.609395566363418 51.7056249119577),1887,1889,999999,69
2090,"",POINT(-0.478025019820961 51.5471062801361),1902,1904,999999,69
1870,"",POINT(-0.0256885928267536 51.4110346951256),1857,1858,999999,69
1095,"",POINT(121.488376942483 31.1625437711658),0,2009,999999,107
1020,"",POINT(121.447685088389 31.1759714428613),2008,2015,999999,107
1072,"",POINT(121.434449629532 31.4101253883986),1997,2006,999999,107
1022,"",POINT(121.42882856128 31.1703471648629),2008,2015,999999,107
1071,"",POINT(121.454999965271 31.4096242766795),1997,2006,999999,107
1024,"",POINT(121.40508113421 31.16581260719),2008,2015,999999,107
1027,"",POINT(121.386584546814 31.1422044796141),2008,2015,999999,107
1070,"",POINT(121.471530526333 31.4057195221763),1997,2006,999999,107
1028,"",POINT(121.375218403164 31.1392563574942),2008,2015,999999,107
1055,"",POINT(121.490077224935 31.180428452212),2005,2009,999999,107
1029,"",POINT(121.356506550866 31.1329614130895),2008,2015,999999,107
1069,"",POINT(121.474662006331 31.3976453496681),1997,2006,999999,107
1030,"",POINT(121.345300230266 31.4037646408873),2005,2010,999999,107
1056,"",POINT(121.49612456402 31.1841337245274),2005,2009,999999,107
1031,"",POINT(121.353051483219 31.3897441776517),2005,2010,999999,107
1068,"",POINT(121.482686423822 31.3845272586215),1997,2006,999999,107
1057,"",POINT(121.505402885898 31.1878115178984),2005,2009,999999,107
1032,"",POINT(121.352323112048 31.3648862196199),2005,2010,999999,107
1033,"",POINT(121.358090064707 31.3591017908669),2005,2010,999999,107
1067,"",POINT(121.488104530263 31.3736395538133),1997,2006,999999,107
1034,"",POINT(121.36779424918 31.3472552269527),2005,2010,999999,107
